glyph_id,modern_char,unicode,char_form,encoding_status,pinyin,n_points,n_strokes,stroke
26,禦,79A6,traditional_or_variant,unicode_encoded,yu,78,11,"78,-64,0,-9,-15,-2,-15,-64,0,-11,-12,-1,-12,-64,0,-6,-12,-6,-1,-64,0,-10,-8,-10,-3,-64,0,-3,-9,-3,-5,-64,0,-2,-6,1,-6,-64,0,-3,-2,2,-2,-64,0,-1,-11,-1,-1,-64,0,2,-15,7,2,1,7,-64,0,1,7,2,11,7,7,6,13,1,18,-64,0,4,-6,3,-1,3,4,-64,-64,,,,,,"
27,禍,798D,in_simplified_set,unicode_encoded,huo,48,7,"48,-64,0,-7,-13,-4,-7,-9,14,-64,0,5,-15,2,-7,7,15,-64,0,-4,-7,2,-7,-64,0,-4,-4,3,-2,-64,0,-1,-1,-1,11,-64,0,-6,1,-1,5,-64,0,-9,14,7,15,-64,-64,,,,,,"
28,祟,795F,in_simplified_set,unicode_encoded,sui,46,7,"46,-64,0,2,-16,-8,-5,-64,0,-4,-16,1,-9,-1,18,-64,0,1,-9,8,-2,-64,0,1,-3,8,3,-64,0,0,6,7,13,-64,0,0,6,-8,13,-64,0,1,-3,-9,5,-64,-64,,,,,,"
29,禫,79AB,in_simplified_set,unicode_encoded,dan,82,13,"82,-64,0,-10,-13,-2,-13,-64,0,-12,-9,-1,-9,-64,0,-6,-9,-7,4,-64,0,1,-9,2,-3,-64,0,-4,-7,0,-3,5,-3,-64,0,5,-3,8,-8,-64,0,-5,2,8,2,-64,0,0,-3,-1,2,-64,0,5,-3,5,2,-64,0,-5,2,2,15,-64,0,8,2,2,15,-64,0,5,2,-1,9,-64,0,-1,1,4,10,-64,-64,,,,,,"
30,三,4E09,in_simplified_set,unicode_encoded,san,20,3,"20,-64,0,-11,-11,8,-11,-64,0,-11,-4,8,-4,-64,0,-12,4,8,4,-64,-64,,,,,,"
31,王,738B,in_simplified_set,unicode_encoded,wang,26,4,"26,-64,0,-9,-8,6,-8,-64,0,-1,-14,-7,8,-64,0,-2,-8,3,8,-64,0,-12,9,8,9,-64,-64,,,,,,"
32,玉,7389,in_simplified_set,unicode_encoded,yu,40,6,"40,-64,0,-1,-16,-1,17,-64,0,-6,-14,-1,-10,6,-15,-64,0,-5,-6,4,-6,-64,0,-7,-1,4,-1,-64,0,-6,7,4,7,-64,0,-8,12,5,12,-64,-64,,,,,,"
33,玨,73A8,in_simplified_set,unicode_encoded,jue,70,11,"70,-64,0,-9,-15,-5,-8,-2,-15,-64,0,-5,-8,-5,12,-64,0,-9,-6,-2,-6,-64,0,-10,0,-2,0,-64,0,-10,6,-3,6,-64,0,0,-15,3,-10,-64,0,6,-15,3,-10,-64,0,3,-10,3,17,-64,0,-1,-6,8,-6,-64,0,0,0,8,0,-64,0,-2,7,8,7,-64,-64,,,,,,"
34,氣,6C23,in_simplified_set,unicode_encoded,qi,20,3,"20,-64,0,-11,-10,10,-10,-64,0,-8,-3,6,-3,-64,0,-12,6,11,6,-64,-64,,,,,,"
35,中,4E2D,in_simplified_set,unicode_encoded,zhong,70,9,"70,-64,0,0,-16,0,17,-64,0,-4,-4,-4,2,-64,0,-4,-4,6,-4,-64,0,6,-4,6,2,-64,0,-4,2,6,2,-64,0,-10,-13,-6,-13,0,-14,-64,0,-10,-8,-7,-8,-4,-10,0,-10,-64,0,-11,7,-7,7,-5,5,0,5,-64,0,-12,11,-8,11,-4,9,-1,10,-64,-64,,,,,,"
36,屮,5C6E,in_simplified_set,unicode_encoded,che,20,3,"20,-64,0,-1,-15,-1,18,-64,0,-9,-4,-1,4,-64,0,8,-4,-1,4,-64,-64,,,,,,"
37,屯,5C6F,in_simplified_set,unicode_encoded,tun,38,5,"38,-64,0,1,-16,1,-9,-64,0,1,-9,-3,-5,0,1,-64,0,1,-9,4,-4,0,1,-64,0,0,1,-1,11,-11,17,-64,0,-6,6,2,15,-64,-64,,,,,,"
38,每,6BCF,in_simplified_set,unicode_encoded,mei,64,8,"64,-64,0,-1,-16,0,6,0,6,-5,10,-4,12,-64,0,-4,12,2,9,0,14,-4,17,-64,0,-6,-11,3,-14,-64,0,-6,-5,5,-10,7,-3,-64,0,-6,-5,-5,4,-64,0,-8,5,-7,1,7,-3,-64,0,-3,-4,-3,-2,-64,0,2,-7,3,-4,-64,-64,,,,,,"
39,萑,8411,traditional_or_variant,unicode_encoded,huan,100,15,"100,-64,0,0,-11,-6,-4,-64,0,-2,-9,1,-5,-6,2,-5,8,3,13,-64,0,-4,-6,4,2,-64,0,-5,1,2,7,-64,0,-2,10,-4,15,-64,0,-10,-10,-10,6,-64,0,-13,-7,-10,-4,-64,0,-6,-8,-10,-4,-64,0,-10,0,-13,4,-64,0,-10,0,-7,3,-64,0,6,-13,6,8,-64,0,1,-12,6,-8,6,-8,-64,0,11,-13,6,-8,-64,0,6,-8,3,-2,-64,0,6,-8,9,-2,-64,-64,,,,,,"
40,萌,840C,in_simplified_set,unicode_encoded,meng,100,15,"100,-64,0,-4,-16,-5,-3,-64,0,-8,-12,-5,-8,-64,0,-1,-14,-5,-8,-64,0,-9,-2,-2,-2,-2,1,-4,4,-64,0,-9,-2,-9,3,-4,4,-64,0,-5,4,-6,14,-64,0,-9,6,-6,9,-64,0,-2,5,-6,9,-64,0,-1,-9,2,2,-1,10,-64,0,4,-13,4,-1,-64,0,1,-10,4,-6,-64,0,7,-10,4,-6,-64,0,4,5,4,16,-64,0,1,8,4,11,-64,0,8,5,4,11,-64,-64,,,,,,"
41,兹,5179,in_simplified_set,unicode_encoded,zi,48,5,"48,-64,0,-6,-14,-6,-8,-64,0,-6,-8,-9,-4,-2,6,-5,10,-64,0,-6,-8,-3,-4,-9,6,-5,10,-64,0,5,-14,0,-4,6,6,4,12,-64,0,5,-14,7,-5,0,6,6,15,-64,-64,,,,,,"
42,蔡,8521,in_simplified_set,unicode_encoded,cai,52,8,"52,-64,0,0,-14,0,4,-6,17,-64,0,0,-10,-7,-2,-64,0,0,-10,9,-4,-64,0,0,4,7,8,-64,0,0,4,-7,8,-64,0,0,4,1,10,-64,0,-3,10,-9,13,-64,0,-3,10,-1,15,-64,-64,,,,,,"
43,茀,8300,in_simplified_set,unicode_encoded,fu,90,14,"90,-64,0,-5,-14,-5,14,-64,0,-8,-12,-5,-7,-64,0,0,-13,-5,-7,-64,0,-5,4,-9,9,-64,0,-5,4,-2,7,-64,0,2,-15,2,17,-64,0,-1,-10,2,-7,-64,0,2,-7,6,-13,-64,0,2,9,-2,15,-64,0,2,9,7,15,-64,0,11,-15,6,-11,10,-6,-64,0,11,-15,10,-6,-64,0,7,-9,-7,-3,-64,0,-7,-3,8,3,-10,13,-64,-64,,,,,,"
44,若,82E5,in_simplified_set,unicode_encoded,ruo,66,7,"66,-64,0,1,-16,-1,-9,1,-5,-4,8,2,10,0,13,-7,10,-4,18,-64,0,-3,-16,-4,-8,0,-2,-64,0,2,-13,4,-5,0,-2,-64,0,-4,-10,-7,-3,-3,3,-64,0,-8,-14,-4,-1,-64,0,5,-11,7,-4,2,1,-64,0,5,-5,6,2,-2,6,-64,-64,,,,,,"
45,苴,82F4,in_simplified_set,unicode_encoded,ju,140,22,"140,-64,0,-3,-13,-3,-10,5,-5,-64,0,-4,-7,-4,-5,5,-5,-64,0,3,-13,-2,-5,-64,0,-7,-10,-9,-6,-6,-3,-64,0,-5,-8,-10,1,-64,0,0,-5,-4,11,-64,0,0,-5,3,11,-64,0,-2,2,1,2,-64,0,-3,6,2,6,-64,0,-7,11,6,11,-64,0,-6,-15,-6,-10,-64,0,-8,-14,-6,-12,-64,0,-3,-15,-6,-12,-64,0,-9,1,-9,13,-64,0,-11,3,-9,6,-64,0,-5,2,-9,6,-64,0,6,-15,6,-3,-64,0,3,-10,6,-7,-64,0,10,-12,6,-7,-64,0,7,2,7,13,-64,0,4,6,7,9,-64,0,11,3,7,9,-64,-64,,,,,,"
46,芻,82BB,in_simplified_set,unicode_encoded,chu,56,8,"56,-64,0,-3,-15,3,-7,2,2,-6,10,-64,0,-5,-6,2,3,4,16,-64,0,-6,-16,-6,-8,-64,0,-9,-13,-6,-8,-64,0,-2,-13,-6,-8,-64,0,-7,-4,-6,7,-64,0,-10,-1,-6,3,-64,0,-4,-2,-6,3,-64,-64,,,,,,"
47,薶,85B6,in_simplified_set,unicode_encoded,mai,82,12,"82,-64,0,-1,-12,-1,9,-64,0,-6,-14,-6,-5,-1,-2,-64,0,3,-14,3,-6,-1,-2,-64,0,-7,0,-1,6,-64,0,4,0,-1,6,-64,0,-10,0,-9,10,0,13,-64,0,6,-2,6,9,0,13,-64,0,-8,-6,-8,-2,-64,0,-5,4,-5,9,-64,0,4,-3,4,-1,-64,0,8,-2,9,-1,-64,0,2,4,3,9,-64,-64,,,,,,"
48,折,6298,in_simplified_set,unicode_encoded,zhe,62,9,"62,-64,0,0,-16,0,-4,-64,0,-3,-14,0,-9,0,-9,-64,0,5,-15,0,-9,-64,0,2,-3,-7,3,-5,9,-6,16,-64,0,-6,-1,-1,-1,-64,0,-1,-1,-3,5,-64,0,0,3,0,15,-64,0,0,8,-4,12,-64,0,0,8,6,12,-64,-64,,,,,,"
49,艿,827F,traditional_or_variant,unicode_encoded,nai,92,14,"92,-64,0,-2,-15,-5,-5,-64,0,-3,-11,1,-6,-1,0,-1,16,-64,0,-9,-10,-9,-1,-64,0,-11,-7,-9,-4,-9,-4,-64,0,-6,-8,-9,-4,-64,0,-7,3,-7,14,-64,0,-10,6,-7,9,-64,0,-4,5,-7,9,-64,0,5,-16,5,-5,-64,0,1,-13,5,-9,-64,0,9,-14,5,-9,-64,0,4,2,4,15,-64,0,1,5,4,9,-64,0,9,4,4,9,-64,-64,,,,,,"
50,蒿,84BF,in_simplified_set,unicode_encoded,hao,126,20,"126,-64,0,-1,-15,-1,-11,-7,-7,-64,0,-1,-11,5,-9,-64,0,-4,-9,-6,2,-64,0,1,-10,4,0,-64,0,-4,-6,1,-7,-64,0,-5,-2,3,-3,-64,0,-10,2,7,0,-64,0,-6,2,-12,13,-64,0,4,0,11,9,-64,0,-4,4,-3,9,2,9,-64,0,2,3,2,9,-64,0,-3,6,2,5,-64,0,-12,-13,-6,-13,-64,0,-8,-16,-8,-8,-64,0,2,-13,8,-14,-64,0,5,-16,5,-10,-64,0,2,11,8,10,-64,0,5,7,5,15,-64,0,-7,7,-7,13,-64,0,-9,10,-5,10,-64,-64,,,,,,"
51,春,6625,in_simplified_set,unicode_encoded,chun,150,23,"150,-64,0,-7,-15,-7,-2,-64,0,-11,-13,-7,-9,-7,-9,-64,0,-2,-14,-7,-9,-64,0,-7,-9,-11,-4,-64,0,-7,-9,-4,-6,-64,0,-11,0,-11,5,-64,0,-11,0,-3,0,-3,5,-64,0,-11,5,-3,5,-64,0,-11,3,-6,3,-64,0,0,-11,-3,-6,-64,0,-3,-6,0,-2,-64,0,-3,5,0,12,-64,0,6,-15,6,0,-64,0,3,-11,6,-8,-64,0,10,-13,6,-8,-64,0,6,-6,3,-2,-64,0,6,-6,10,-2,-64,0,4,2,4,17,-64,0,1,6,4,8,-64,0,8,2,4,7,-64,0,4,10,1,13,-64,0,5,10,9,13,-64,0,1,-17,1,-5,0,0,-2,9,-6,14,-64,-64,,,,,,"
52,蓐,84D0,in_simplified_set,unicode_encoded,ru,104,15,"104,-64,0,-3,-16,-3,-9,-64,0,-5,-14,-3,-11,-64,0,0,-14,-3,-11,-64,0,3,-17,3,-10,-64,0,1,-14,3,-12,-64,0,6,-14,3,-12,-64,0,-9,-8,10,-9,-64,0,-8,-3,4,-6,-64,0,-8,-3,-7,7,-11,12,-64,0,-7,2,-2,4,6,0,-64,0,-7,-1,-2,1,6,0,-64,0,-2,-4,-2,4,-64,0,-5,-3,-2,-1,-64,0,3,-2,5,5,-3,12,-64,0,0,6,3,9,4,14,7,17,-64,-64,,,,,,"
