glyph_id,modern_char,unicode,char_form,encoding_status,pinyin,identity_confidence,identity_note,composition_note,n_source_variants,pua_legacy,previous_label_v0_2
970,土,571F,in_simplified_set,unicode_encoded,tu,high,,,4,,土
971,基,57FA,in_simplified_set,unicode_encoded,ji,high,,,3,,基
972,在,5728,in_simplified_set,unicode_encoded,zai,high,,,4,,在
973,封,5C01,in_simplified_set,unicode_encoded,feng,high,,,4,,封
974,圣,5723,in_simplified_set,unicode_encoded,sheng,high,,,4,,圣
975,堯,582F,traditional_or_variant,unicode_encoded,yao,high,,,1,,yao
976,堇,5807,traditional_or_variant,unicode_encoded,jin,high,,,3,,qin
977,艱,8271,in_simplified_set,unicode_encoded,jian,high,,,3,,艱
978,野,91CE,in_simplified_set,unicode_encoded,ye,high,,,3,,野
979,田,7530,in_simplified_set,unicode_encoded,tian,high,,,4,,田
980,疇,7587,in_simplified_set,unicode_encoded,chou,high,,,3,,疇
981,畯,756F,in_simplified_set,unicode_encoded,jun,high,,,4,,畯
982,畕,7555,in_simplified_set,unicode_encoded,jiang,high,,,1,,畕
983,疆,7586,in_simplified_set,unicode_encoded,jiang,high,,,1,,疆
984,黄,9EC4,in_simplified_set,unicode_encoded,huang,high,,,3,,黄
985,男,7537,in_simplified_set,unicode_encoded,nan,high,,,4,,男
986,力,529B,in_simplified_set,unicode_encoded,li,high,,,3,,力
987,劦,52A6,in_simplified_set,unicode_encoded,xie,high,,,4,,劦
988,錫,932B,in_simplified_set,unicode_encoded,xi,high,,,1,,錫
989,鑄,9444,in_simplified_set,unicode_encoded,zhu,high,,,3,,鑄
990,镬,956C,in_simplified_set,unicode_encoded,huo,high,,,4,,镬
991,锾,953E,in_simplified_set,unicode_encoded,huan,high,,,2,,锾
992,且,4E14,in_simplified_set,unicode_encoded,qie,high,,,4,,且
993,俎,4FCE,in_simplified_set,unicode_encoded,zu,high,,,4,,俎
994,斤,65A4,in_simplified_set,unicode_encoded,jin,high,,,2,,斤
995,斧,65A7,in_simplified_set,unicode_encoded,fu,high,,,2,,斧
996,斫,65AB,in_simplified_set,unicode_encoded,zhuo,high,,,2,,斫
997,新,65B0,in_simplified_set,unicode_encoded,xin,high,,,4,,新
998,斝,659D,in_simplified_set,unicode_encoded,jia,high,,,4,,斝
999,升,5347,in_simplified_set,unicode_encoded,sheng,high,,,4,,升
1000,車,8ECA,in_simplified_set,unicode_encoded,che,high,,,4,,車
1001,輿,8F3F,in_simplified_set,unicode_encoded,yu,high,,,3,,輿
1002,堆,5806,traditional_or_variant,unicode_encoded,dui,high,,,4,,dui
1003,官,5B98,in_simplified_set,unicode_encoded,guan,high,,,4,,官
1004,丰,4E30,traditional_or_variant,unicode_encoded,feng,high,,fu,4,,fu
1005,陵,9675,in_simplified_set,unicode_encoded,ling,high,,,1,,陵
1006,陽,967D,in_simplified_set,unicode_encoded,yang,high,,,1,,陽
1007,陮,966E,in_simplified_set,unicode_encoded,dui,high,,,4,,陮
1008,陟,965F,in_simplified_set,unicode_encoded,zhi,high,,,3,,陟
1009,隊,968A,in_simplified_set,unicode_encoded,dui,high,,,3,,隊
1010,降,964D,in_simplified_set,unicode_encoded,jiang,high,,,4,,降
1011,餐,9910,traditional_or_variant,unicode_encoded,can,high,,,4,,qian
1012,陴,9674,in_simplified_set,unicode_encoded,pi,high,,,2,,陴
1013,四,56DB,in_simplified_set,unicode_encoded,si,high,,,4,,四
1014,宁,5B81,in_simplified_set,unicode_encoded,ning,high,,,4,,宁
1015,亞,4E9E,in_simplified_set,unicode_encoded,ya,high,,,4,,亞
1016,五,4E94,in_simplified_set,unicode_encoded,wu,high,,,4,,五
1017,六,516D,in_simplified_set,unicode_encoded,liu,high,,,4,,六
1018,七,4E03,in_simplified_set,unicode_encoded,qi,high,,,4,,七
1019,九,4E5D,in_simplified_set,unicode_encoded,jiu,high,,,4,,九
1020,禽,79BD,in_simplified_set,unicode_encoded,qin,high,,,4,,禽
1021,萬,842C,in_simplified_set,unicode_encoded,wan,high,,,4,,萬
1022,獸,7378,in_simplified_set,unicode_encoded,shou,high,,,4,,獸
