jgw_id,char,unicode,pua,otf_wh,jgw_wh,log_wh_diff,status_wh
93,疇,7587,U+E3D5,0.58,0.68,0.06908091914329911,OK
94,丑,4E11,U+E412,0.48,0.57,0.07463361829690415,OK
95,醜,919C,U+E477,0.73,0.36,0.3070203593531686,WARN
96,臭,81ED,U+E2D5,0.38,0.58,0.18364439694612708,OK_LOOSE
97,出,51FA,U+E1D5,0.87,0.48,0.2582780152430313,OK_LOOSE
98,初,521D,U+E143,0.67,0.72,0.03125769373044196,OK
99,芻,82BB,U+E02F,0.42,0.34,0.09177037335564528,OK
100,雏chu,,,,,,SEVERE
101,楚,695A,U+E1CC,0.5,0.71,0.15228834438305644,OK_LOOSE
102,川,5DDD,U+E334,0.55,0.44,0.09691001300805642,OK
103,傳,50B3,U+E25E,0.82,0.64,0.10763387839982952,OK
104,吹,5439,U+E04E,0.52,0.48,0.034762106259212,OK
105,春,6625,U+E034,0.65,0.51,0.10534318054491917,OK
106,纯chun,,,,,,SEVERE
107,辵,8FB5,U+E06C,0.78,0.48,0.21085336531489324,OK_LOOSE
108,娕,5A15,U+E37D,0.62,0.62,0.0,OK
109,逴,9034,U+E079,0.6,0.36,0.2218487496163564,OK_LOOSE
110,疵ci,,,,,,SEVERE
111,祠,7960,U+E016,0.76,0.58,0.11738559871785413,OK
112,此,6B64,U+E06A,0.69,0.62,0.046457401239001404,OK
113,朿,673F,U+E214,0.52,0.72,0.14132915279646924,OK
114,次,6B21,U+E28E,0.38,0.7,0.26531444339744664,OK_LOOSE
115,从,4ECE,U+E269,0.52,0.41,0.10321948691506368,OK
116,從,5F9E,U+E26A,0.61,0.38,0.20554623839395686,OK_LOOSE
117,麤,9EA4,U+E2CE,0.78,0.71,0.040836253971405154,OK
118,搓cuo,,,,,,SEVERE
119,虘,8658,U+E170,0.56,0.62,0.04420366249205342,OK
120,蔖cuo,,,,,,SEVERE
121,沓,6C93,U+E448,0.73,0.54,0.13092910029748733,OK
122,逹,9039,U+E075,0.64,0.81,0.1023050448947626,OK
123,大,5927,U+E2EC,0.68,0.64,0.02632893872234915,OK
124,丹,4E39,U+E17F,0.66,0.62,0.027152246043614867,OK
125,單,55AE,U+E05E,0.49,0.6,0.08795517035512998,OK
126,箪dan,,,,,,SEVERE
127,瓭dan,,,,,,SEVERE
128,撣,64A3,U+E35E,0.33,0.44,0.12493873660829995,OK
129,旦,65E6,U+E1FB,0.8,0.68,0.07058107428570728,OK
130,但,4F46,U+E264,0.73,0.6,0.08517160973681231,OK
131,淡,6DE1,U+E32D,0.67,0.38,0.2462912060840163,OK_LOOSE
132,僤,50E4,U+E469,0.69,0.72,0.018483405694013178,OK
133,彈,5F48,U+E3AA,0.4,0.77,0.28443073384451945,OK_LOOSE
134,禫,79AB,U+E01E,0.63,0.59,0.028488537811437533,OK
135,宕,5B95,U+E234,0.75,0.66,0.05551732784983133,OK
136,刀,5200,U+E141,0.4,0.39,0.01099538430146324,OK
137,得,5F97,U+E083,0.56,0.71,0.10307032171287484,OK
138,德,5FB7,U+E07D,0.88,0.68,0.11197375944393226,OK
139,登,767B,U+E066,0.57,0.33,0.23736091579460386,OK_LOOSE
140,狄,72C4,U+E2D9,0.58,0.52,0.04742464992813805,OK
141,迪di,,,,,,SEVERE
142,弟,5F1F,U+E1AB,0.5,0.55,0.04139268515822506,OK
143,杕,6755,U+E455,0.81,0.55,0.16812232938440588,OK_LOOSE
144,帝,5E1D,U+E007,0.54,0.74,0.13683795990800762,OK
145,禘,7998,U+E017,0.61,0.83,0.13374825736530685,OK
146,典,5178,U+E154,0.98,0.44,0.3477733992063074,WARN
147,奠,5960,U+E155,0.53,0.56,0.023912157405411385,OK
148,弔,5F14,U+E265,0.47,0.55,0.06826483155852646,OK
149,眣die,,,,,,SEVERE
150,耋,800B,U+E278,0.59,0.52,0.05484866800734502,OK
151,丁,4E01,U+E404,1.57,0.48,0.5146584150336465,WARN
152,鼎,9F0E,U+E216,0.9,0.56,0.2060544824331244,OK_LOOSE
153,定,5B9A,U+E22D,0.54,0.61,0.05293607518779848,OK
154,冬,51AC,U+E33D,0.77,9.0,1.067751784266843,SEVERE
155,東,6771,U+E1C9,0.42,0.95,0.35447431489094733,WARN
156,娻dong,,,,,,SEVERE
157,凍,51CD,U+E490,0.66,0.73,0.043778924578587196,OK
158,豆,8C46,U+E16B,0.69,0.57,0.08297423506476391,OK
159,鬥,9B25,U+E0C4,0.64,0.37,0.2379782499168922,OK_LOOSE
160,脰deng,,,,,,SEVERE
161,督,7763,U+E438,0.49,0.7,0.15490195998574313,OK_LOOSE
162,杜,675C,U+E1AF,0.73,0.67,0.037248057419629395,OK
163,耑,8011,U+E225,0.46,0.58,0.10067016188136313,OK
164,堆dui,,,,,,SEVERE
165,兑,5151,U+E286,0.46,0.73,0.20056502843888177,OK_LOOSE
166,陮,966E,U+E3F0,0.62,0.46,0.1296338578166798,OK
167,隊,968A,U+E3F2,0.51,0.45,0.054357662322592676,OK
168,對,5C0D,U+E0A9,0.69,0.43,0.20538063515766877,OK_LOOSE
169,盾gan,,,,,,SEVERE
170,多,591A,U+E20D,0.66,0.42,0.19629464514396827,OK_LOOSE
171,妸,59B8,U+E375,0.65,0.69,0.02593573409439971,OK
172,娥,5A25,U+E374,0.69,0.67,0.012774288036428825,OK
173,奀en,,,,,,SEVERE
174,而,800C,U+E2B3,0.77,0.65,0.0735773685296263,OK
175,兒,5152,U+E284,0.4,0.74,0.2671717284030138,OK_LOOSE
176,耳,8033,U+E353,0.5,0.75,0.17609125905568127,OK_LOOSE
177,洱,6D31,U+E4A4,0.78,0.32,0.3869446243705744,WARN
178,二,4E8C,U+E3C6,1.91,0.48,0.5997921298721403,WARN
179,伐,4F10,U+E261,0.64,0.77,0.08031075118859472,OK
180,帆fan,,,,,,SEVERE
181,番,756A,U+E043,0.53,0.62,0.06811581989746482,OK
182,凡,51E1,U+E3CA,0.54,0.47,0.060295901887251084,OK
183,反,53CD,U+E0CF,0.62,0.53,0.06811581989746482,OK
184,匚,531A,U+E3A3,0.54,0.45,0.07918124604762482,OK
185,方,65B9,U+E282,0.56,0.62,0.04420366249205342,OK
