jgw_id,char,unicode,pua,otf_wh,jgw_wh,log_wh_diff,status_wh
413,冏,518F,U+E097,0.55,0.39,0.14929808246774467,OK
414,囧,56E7,U+E208,1.0,0.39,0.40893539297350073,WARN
415,丩,4E29,U+E09A,0.42,0.56,0.12493873660830002,OK
416,九,4E5D,U+E3FC,0.46,0.52,0.053245511953225105,OK
417,酒,9152,U+E41D,0.87,1.0,0.060480747381381476,OK
418,咎,548E,U+E263,0.6,0.35,0.23408320603336802,OK_LOOSE
419,舊,820A,U+E11E,0.45,0.38,0.07342891715853349,OK
420,苴,82F4,U+E02E,0.76,0.9,0.07342891715853353,OK
421,沮,6CAE,U+E307,0.58,0.52,0.04742464992813805,OK
422,举ju,,,,,,SEVERE
423,句,53E5,U+E099,0.64,0.79,0.09144711730655426,OK
424,具,5177,U+E0B3,0.52,0.71,0.13525500508427613,OK
425,惧ju,,,,,,SEVERE
426,眷juan,,,,,,SEVERE
427,氒,6C12,U+E38C,0.58,0.54,0.03103423373996873,OK
428,玨,73A8,U+E022,0.56,0.5,0.04921802267018165,OK
429,絕,,,,,,SEVERE
430,橛kun,,,,,,SEVERE
431,爵,7235,U+E187,0.67,0.56,0.077886775694626,OK
432,攫jue,,,,,,SEVERE
433,君,541B,U+E050,0.45,0.68,0.17929639893089266,OK_LOOSE
434,麇,9E87,U+E2CB,0.51,0.61,0.07775965891283065,OK
435,畯,756F,U+E3D6,0.48,0.39,0.09017663034908796,OK
436,穅,7A45,U+E21D,0.52,0.52,0.0,OK
437,亢,4EA2,U+E2FA,0.59,0.43,0.13738355606255767,OK
438,丂,4E02,U+E15E,1.05,0.44,0.3777366225837506,WARN
439,考,8003,U+E279,0.51,0.54,0.024823583725032152,OK
440,壳qiao,,,,,,SEVERE
441,可,53EF,U+E161,0.6,0.5,0.07918124604762482,OK
442,克,514B,U+E217,0.61,0.62,0.007061854487486835,OK
443,口,53E3,U+E04C,0.66,0.59,0.048691923899724536,OK
444,哭,54ED,U+E05F,0.69,0.57,0.08297423506476391,OK
445,夸,5938,U+E2EE,0.73,0.69,0.0244737693832006,OK
446,匡,5321,U+E3A4,0.71,0.69,0.012409257981820025,OK
447,狂,72C2,U+E2D8,0.57,0.68,0.07663405703374497,OK
448,況,6CC1,U+E316,0.49,0.53,0.03407978957227543,OK
449,亏,4E8F,U+E164,0.49,0.48,0.008954842652926412,OK
450,奎kui,,,,,,SEVERE
451,戣,6223,U+E390,0.6,0.48,0.09691001300805642,OK
452,夔,5914,U+E1A8,0.49,0.56,0.05799194697768681,OK
453,媿,5ABF,U+E385,0.42,0.48,0.057991946977686754,OK
454,昆kun,,,,,,SEVERE
455,困,56F0,U+E1DF,0.77,0.5,0.18752072083646307,OK_LOOSE
456,剌,524C,U+E1DB,0.62,0.64,0.013788284485633297,OK
457,來,4F86,U+E1A3,0.5,0.76,0.1818435879447725,OK_LOOSE
458,婪,5A6A,U+E384,0.91,0.58,0.19561339875815636,OK_LOOSE
459,狼,72FC,U+E2DB,0.67,0.48,0.14483356532523925,OK
460,牢,7262,U+E049,0.61,0.91,0.1737115573103266,OK_LOOSE
461,老,8001,U+E277,0.46,0.7,0.1823402083326827,OK_LOOSE
462,潦,6F66,U+E325,0.6,0.55,0.037788560889399754,OK
463,樂,6A02,U+E1C3,0.43,0.43,0.0,OK
464,雷,96F7,U+E33F,0.6,0.62,0.01424043911461028,OK
465,縲lei,,,,,,SEVERE
466,罍lei,,,,,,SEVERE
467,棃li,,,,,,SEVERE
468,離,96E2,U+E118,0.33,0.55,0.2218487496163564,OK_LOOSE
469,斄li,,,,,,SEVERE
470,驪,9A6A,U+E2C0,0.84,0.88,0.020203386088287,OK
471,李,674E,U+E452,0.48,0.45,0.028028723600243534,OK
472,禮,79AE,U+E00C,0.59,0.59,0.0,OK
473,力,529B,U+E3DB,0.31,0.24,0.11115045212266668,OK
474,立,7ACB,U+E300,0.68,0.65,0.01959555606338077,OK
475,吏,540F,U+E005,0.4,0.35,0.057991946977686816,OK
476,利,5229,U+E142,0.58,0.58,0.0,OK
477,隶li,,,,,,SEVERE
478,砅,7805,U+E323,0.74,0.47,0.19713386179525874,OK_LOOSE
479,秝,79DD,U+E220,0.59,0.55,0.030489322147900264,OK
480,歷,6B77,U+E064,0.68,0.73,0.030813947414219556,OK
481,櫟,6ADF,U+E453,0.6,0.57,0.022276394711152208,OK
482,聯,806F,U+E495,0.46,0.6,0.11539341870206953,OK
483,良,826F,U+E19F,0.5,0.61,0.08635983067474821,OK
484,量,91CF,U+E46C,0.47,0.44,0.02864518144953001,OK
485,寮,5BEE,U+E23B,0.62,0.48,0.11115045212266668,OK
486,尞,5C1E,U+E2DE,0.42,0.5,0.07572071393811836,OK
487,列lie,,,,,,SEVERE
488,烈,70C8,U+E482,0.68,0.39,0.24144430567973713,OK_LOOSE
489,猟lie,,,,,,SEVERE
490,林,6797,U+E1CB,0.73,0.39,0.2722582530939566,OK_LOOSE
491,粦,7CA6,U+E484,0.56,0.64,0.0579919469776867,OK
492,霖,9716,U+E342,0.62,0.7,0.05270635051600292,OK
493,麐,9E90,U+E2C9,0.57,0.54,0.02348109584952281,OK
494,麟,9E9F,U+E2C8,0.47,0.59,0.09875415370642673,OK
495,吝,541D,U+E05C,0.65,0.58,0.04948536307991834,OK
496,悋lin,,,,,,SEVERE
497,焛,711B,U+E2DF,0.56,0.6,0.029963223377443157,OK
498,夌,590C,U+E44F,0.35,0.54,0.18832571547269294,OK_LOOSE
499,陵,9675,U+E3EE,0.59,0.56,0.022663984635943695,OK
500,霝,971D,U+E340,0.78,0.3,0.414973347970818,WARN
501,令,4EE4,U+E299,0.51,0.55,0.03279251339630749,OK
502,柳,67F3,U+E1B0,0.45,0.67,0.1728622889254828,OK_LOOSE
503,六,516D,U+E3FA,1.28,0.52,0.3912066260130692,WARN
504,龍,9F8D,U+E34C,0.44,0.41,0.030668819766451964,OK
505,聾,807E,U+E358,0.77,1.25,0.21041928783557454,OK_LOOSE
506,龓,9F93,U+E206,0.53,0.4,0.12221587827282664,OK
507,盧,76E7,U+E176,0.42,0.77,0.26324143477458145,OK_LOOSE
508,硵lu,,,,,,SEVERE
509,魯,9B6F,U+E10C,0.52,0.36,0.15970084286751196,OK_LOOSE
510,录,5F55,U+E218,0.46,0.59,0.1080941799605701,OK
511,鹿,9E7F,U+E2C7,0.65,0.46,0.1501555249612815,OK_LOOSE
512,禄,7984,U+E00D,0.78,0.43,0.2586261471108939,OK_LOOSE
513,麓,9E93,U+E1CD,0.75,0.66,0.05551732784983133,OK
514,吕,5415,U+E23A,0.6,0.77,0.10833947478883828,OK
515,旅,65C5,U+E1FF,0.65,0.8,0.09017663034908802,OK
516,律,5F8B,U+E084,0.56,0.55,0.007825337511956621,OK
517,率,7387,U+E3BB,0.5,0.67,0.12710479836480768,OK
518,緑,7DD1,U+E3B4,0.76,0.57,0.1249387366083,OK
519,羅,7F85,U+E244,0.63,0.42,0.17609125905568124,OK_LOOSE
520,臝luo,,,,,,SEVERE
521,洛,6D1B,U+E309,0.62,0.61,0.007061854487486849,OK
522,落luo,,,,,,SEVERE
523,濼,6FFC,U+E30E,0.74,0.54,0.13683795990800765,OK
524,馬,99AC,U+E2BF,0.49,0.95,0.28752752526033404,OK_LOOSE
525,薶,85B6,U+E030,0.65,0.77,0.07357736852962626,OK
526,霾,973E,U+E345,0.52,0.48,0.034762106259212,OK
527,買,8CB7,U+E1E9,0.48,0.7,0.1638568026386696,OK_LOOSE
528,麥,9EA5,U+E1A4,0.43,0.54,0.09892530424338199,OK
529,尨,5C28,U+E2D2,0.47,0.4,0.070037866607755,OK
530,杗,6757,U+E1BB,0.6,0.39,0.1870866433571444,OK_LOOSE
531,莽,83BD,U+E422,0.87,0.45,0.28630673884327484,OK_LOOSE
532,卯,536F,U+E415,0.54,0.5,0.03342375548694973,OK
533,懋,61CB,U+E487,0.41,0.85,0.31663506899455723,WARN
534,枚,679A,U+E1B6,0.45,0.48,0.02802872360024349,OK
535,眉,7709,U+E10A,0.52,0.68,0.11650556907143719,OK
536,湄,6E44,U+E321,0.67,0.37,0.25787307863383147,OK_LOOSE
537,每,6BCF,U+E027,0.49,0.46,0.027438248346939524,OK
538,美,7F8E,U+E123,0.65,0.47,0.14081549870713814,OK
539,妹,59B9,U+E36E,0.67,0.68,0.006434110005409911,OK
540,媚,5A9A,U+E377,0.48,0.45,0.028028723600243534,OK
541,寐,5BD0,U+E23E,0.61,0.57,0.029454979338275632,OK
542,鬽,9B3D,U+E2A4,0.5,0.68,0.13353890837021754,OK
543,門,9580,U+E352,0.66,0.45,0.16633142176652502,OK_LOOSE
544,萌,840C,U+E029,0.56,0.6,0.029963223377443157,OK
545,夢,5922,U+E23D,0.63,0.48,0.11809931207799448,OK
546,盟meng,,,,,,SEVERE
547,麋,9E8B,U+E2CA,0.77,0.53,0.1622148555716928,OK_LOOSE
548,米,7C73,U+E222,0.72,0.63,0.05799194697768673,OK
549,芈,8288,U+E121,0.61,0.71,0.06592851370830821,OK
550,敉,6549,U+E0F0,0.49,0.8,0.21289390696342997,OK_LOOSE
551,糸,7CF8,U+E3AE,0.35,0.7,0.3010299956639812,WARN
552,宀,5B80,U+E226,0.74,0.6,0.09108046934733258,OK
553,免,514D,U+E46A,0.36,0.46,0.10645533091428686,OK
554,面,9762,U+E292,0.96,0.29,0.5198732351406123,WARN
555,蔑,8511,U+E11F,0.53,0.82,0.18953798278292763,OK_LOOSE
556,民,6C11,U+E388,0.68,0.33,0.3139949728283488,WARN
557,皿,76BF,U+E173,0.7,0.95,0.13262556527459096,OK
558,敏,654F,U+E0EA,0.55,0.52,0.024359345859444693,OK
559,黽,9EFD,U+E3C4,0.44,0.58,0.11997531707674981,OK
560,名,540D,U+E04F,0.61,0.7,0.05976820500348979,OK
561,明,660E,U+E207,0.7,0.5,0.146128035678238,OK
562,冥,51A5,U+E201,0.53,0.39,0.13321126257428986,OK
563,鳴,9CF4,U+E12C,0.62,0.52,0.0763883458634547,OK
564,命,547D,U+E051,0.42,0.6,0.1549019599857432,OK_LOOSE
565,沫,6CAB,U+E330,0.57,0.48,0.07463361829690418,OK
566,莫,83AB,U+E036,0.54,0.59,0.03845825181917563,OK
567,母,6BCD,U+E36C,0.5,0.39,0.10790539730951956,OK
568,牡,7261,U+E045,0.62,0.56,0.044203662492053396,OK
569,木,6728,U+E1AD,0.45,0.56,0.09497551323085678,OK
570,目,76EE,U+E104,1.42,0.42,0.529039053985156,WARN
571,沐,6C90,U+E32F,0.53,0.66,0.09526806594107966,OK
572,牧,7267,U+E0F8,0.72,0.44,0.21387981994508098,OK_LOOSE
573,穆,7A46,U+E460,0.68,0.45,0.17929639893089264,OK_LOOSE
574,内,,,,,,SEVERE
575,乃,4E43,U+E15C,0.66,0.48,0.13830269816628152,OK
576,艿,827F,U+E032,0.62,0.76,0.08842190278253749,OK
577,廼,5EFC,U+E447,0.6,0.87,0.16136800223497494,OK_LOOSE
578,男,7537,U+E3DA,0.55,0.62,0.05202900000400998,OK
579,南,5357,U+E1D7,0.65,0.65,0.0,OK
580,夒,5912,U+E1A7,0.42,0.62,0.16914239910035345,OK_LOOSE
581,疒,7592,U+E23F,0.66,0.61,0.034214100531101674,OK
582,麑,9E91,U+E2CC,0.7,0.48,0.16385680263866959,OK_LOOSE
583,伲ni,,,,,,SEVERE
584,屰,5C70,U+E095,0.51,0.39,0.11650556907143717,OK
585,逆,9006,U+E070,0.57,0.64,0.05030511831139583,OK
586,溺ni,,,,,,SEVERE
587,年,5E74,U+E21E,0.48,0.45,0.028028723600243534,OK
588,輦,8F26,U+E4AE,0.88,0.6,0.16633142176652502,OK_LOOSE
589,廿,5EFF,U+E09E,0.48,0.51,0.026328938722349152,OK
590,娘,5A18,U+E49A,0.61,0.7,0.05976820500348979,OK
591,鳥,9CE5,U+E129,0.53,0.48,0.04303463222520185,OK
592,臬,81EC,U+E1C2,0.41,0.88,0.33169881543043317,WARN
593,啮nie,,,,,,SEVERE
594,镍nie,,,,,,SEVERE
595,籋nie,,,,,,SEVERE
596,宁,5B81,U+E3F7,0.62,0.38,0.21260809288144372,OK_LOOSE
597,寍,5BCD,U+E22C,0.66,0.58,0.05611594197893141,OK
598,寧,,,,,,SEVERE
599,濘,6FD8,U+E31F,0.67,0.46,0.16331697101925235,OK_LOOSE
600,牛,725B,U+E044,0.53,0.46,0.06151803791921497,OK
601,農,8FB2,U+E0B8,0.52,0.68,0.11650556907143719,OK
602,弄,5F04,U+E0AE,0.57,0.37,0.18767313160549634,OK_LOOSE
603,女,5973,U+E364,0.53,0.56,0.023912157405411385,OK
604,虐,8650,U+E449,0.55,0.48,0.05912145211865669,OK
605,奻,,,,,,SEVERE
606,排,6392,U+E35A,0.55,0.58,0.023065304068693383,OK
607,派,6D3E,U+E31C,0.6,0.46,0.1153934187020695,OK
608,槃,69C3,U+E1BF,0.64,0.53,0.08190410438309811,OK
609,旁,65C1,U+E008,0.59,0.63,0.028488537811437564,OK
610,龐,9F90,U+E2AB,0.65,0.54,0.08051959681988707,OK
611,沛pei,,,,,,SEVERE
612,浿,6D7F,U+E312,0.43,0.62,0.1589232339186674,OK_LOOSE
613,配,914D,U+E41E,0.78,0.55,0.15173191319623658,OK_LOOSE
614,轡,8F61,U+E4A6,0.61,0.7,0.05976820500348979,OK
615,朋,670B,U+E1EA,0.66,0.59,0.048691923899724536,OK
616,倗,5017,U+E252,0.9,0.74,0.08501078970834869,OK
617,彭,5F6D,U+E169,0.76,0.48,0.19957235490520417,OK_LOOSE
618,陴,9674,U+E3F5,0.66,0.88,0.12493873660829995,OK
619,片,7247,U+E215,0.41,0.65,0.2001294999231201,OK_LOOSE
620,嬪,5B2A,U+E37E,0.59,0.9,0.1833904977971807,OK_LOOSE
621,品,54C1,U+E08C,0.76,0.73,0.017490732160335427,OK
622,牝,725D,U+E047,0.68,0.67,0.006434110005409903,OK
623,甹ping,,,,,,SEVERE
624,攴,6534,U+E0E7,0.27,0.56,0.3168242628472131,WARN
625,僕,50D5,U+E0AA,0.46,0.73,0.20056502843888177,OK_LOOSE
626,七,4E03,U+E3FB,1.44,0.68,0.32585357938901327,WARN
627,戚,621A,U+E4A1,0.46,0.43,0.029289376101987598,OK
628,霋qi,,,,,,SEVERE
629,齐qi,,,,,,SEVERE
630,圻yin,,,,,,SEVERE
631,其,5176,U+E445,1.21,0.43,0.4493169147368636,WARN
632,祈,7948,U+E01A,0.51,0.62,0.08482151340031749,OK
633,萁qi,,,,,,SEVERE
634,棊,68CA,U+E1C1,0.55,0.54,0.007968929671275373,OK
635,旗yan,,,,,,SEVERE
636,齊,9F4A,U+E213,0.72,0.47,0.185234638495551,OK_LOOSE
637,企,4F01,U+E24D,0.56,0.54,0.015794267183231885,OK
638,启,542F,U+E055,0.39,0.62,0.20132708247175468,OK_LOOSE
639,杞,675E,U+E1B1,0.51,0.5,0.00860017176191757,OK
640,啓,5553,U+E0E8,0.55,0.3,0.26324143477458145,OK_LOOSE
641,晵,6675,U+E1F3,0.55,0.46,0.07760485781266976,OK
642,契jie,,,,,,SEVERE
643,氣,6C23,U+E023,1.25,0.48,0.41566877563246923,WARN
644,棄,68C4,U+E12D,0.66,1.44,0.33881855655338095,WARN
645,千,5343,U+E09D,0.53,0.62,0.06811581989746482,OK
646,臤,81E4,U+E0DB,0.69,0.52,0.12284574710245615,OK
647,铅qian,,,,,,SEVERE
648,掔,6394,U+E35F,0.5,0.43,0.0655015487564323,OK
649,前,524D,U+E063,0.75,0.71,0.023802914672624822,OK
650,钳yu,,,,,,SEVERE
651,遣,9063,U+E074,0.46,0.33,0.14424389180368663,OK
652,欠,6B20,U+E28D,0.32,0.69,0.3336991124173493,WARN
653,俔,4FD4,U+E25C,0.7,0.6,0.06694678963061322,OK
654,羌,7F8C,U+E124,0.56,0.82,0.16562582537751624,OK_LOOSE
655,戕,6215,U+E394,0.82,0.48,0.23257261500812945,OK_LOOSE
656,鞘qiao,,,,,,SEVERE
657,切qie,,,,,,SEVERE
658,且,4E14,U+E3E1,0.54,0.45,0.07918124604762482,OK
659,妾,59BE,U+E0A8,0.44,0.44,0.0,OK
660,侵,4FB5,U+E25A,0.75,0.77,0.011429461780781828,OK
661,钦qing（卯）,,,,,,SEVERE
662,秦,79E6,U+E21F,0.49,0.5,0.00877392430750515,OK
663,禽,79BD,U+E3FD,0.55,0.52,0.024359345859444693,OK
664,寝,5BDD,U+E233,0.54,0.58,0.031034233739968737,OK
665,沁,6C81,U+E493,0.6,0.48,0.09691001300805642,OK
666,青,9752,U+E180,0.54,0.68,0.10011515288326783,OK
667,卿,537F,U+E29D,0.71,0.52,0.13525500508427607,OK
668,慶,6176,U+E303,0.62,0.34,0.26091277245599875,OK_LOOSE
669,磬,78EC,U+E2AE,0.4,1.21,0.48072537898848766,WARN
670,丘,4E18,U+E26E,1.16,0.45,0.41124547545157475,WARN
671,秋,79CB,U+E2E3,0.5,0.73,0.16435285578443712,OK_LOOSE
672,囚,56DA,U+E1DE,0.75,0.84,0.04921802267018159,OK
673,汓,6C53,U+E322,0.71,0.7,0.006160308704818433,OK
674,裘,88D8,U+E276,0.61,0.67,0.04074496769005942,OK
675,曲,66F2,U+E4A3,0.73,0.75,0.011738403271244173,OK
676,區,5340,U+E3A1,0.79,0.65,0.0847137346475859,OK
677,驅,9A45,U+E2C3,0.63,0.65,0.01357280718927387,OK
678,取,53D6,U+E0D3,0.65,0.77,0.07357736852962626,OK
679,娶,5A36,U+E368,0.7,0.52,0.12909469637945764,OK
680,去,53BB,U+E17A,0.58,0.58,0.0,OK
681,泉,6CC9,U+E339,0.6,0.47,0.10605339244792619,OK
682,犬,72AC,U+E2D1,0.46,0.41,0.04997397496183862,OK
683,雀,96C0,U+E114,0.45,0.9,0.3010299956639812,WARN
684,冄,5184,U+E2B2,0.91,0.54,0.22664763249812508,OK_LOOSE
685,姌ran,,,,,,SEVERE
686,人,4EBA,U+E24A,0.32,0.59,0.26570203332223824,OK_LOOSE
687,仁,4EC1,U+E24C,0.61,0.91,0.1737115573103266,OK_LOOSE
688,壬,58EC,U+E40C,0.93,0.5,0.26951294421791633,OK_LOOSE
689,刃,5203,U+E14C,0.53,0.52,0.008272525965989857,OK
690,任,4EFB,U+E25B,0.67,0.65,0.013161446057970908,OK
691,妊,598A,U+E36B,0.62,0.54,0.05999792967528537,OK
692,扔,6254,U+E360,0.39,0.41,0.021719249693236256,OK
693,日,65E5,U+E1F0,1.04,1.18,0.05484866800734498,OK
694,戎,620E,U+E38F,0.64,0.62,0.013788284485633285,OK
695,肜chen,,,,,,SEVERE
696,肉,8089,U+E13D,1.0,0.56,0.25181197299379954,OK_LOOSE
697,如,5982,U+E37C,0.58,0.5,0.06445798922691845,OK
698,汝,6C5D,U+E30A,0.54,0.57,0.023481095849522814,OK
699,乳,4E73,U+E494,0.62,1.54,0.3951290313382092,WARN
700,入,5165,U+E190,1.63,0.62,0.4197959149057039,WARN
701,蓐,84D0,U+E035,0.59,0.44,0.12739933515595672,OK
702,若,82E5,U+E02D,0.47,0.61,0.11323197707504959,OK
703,洒,6D12,U+E32E,0.64,0.5,0.10720996964786837,OK
704,卅,5345,U+E09F,0.55,0.6,0.037788560889399754,OK
705,塞,585E,U+E4A8,0.59,1.33,0.3529996293249416,WARN
706,三,4E09,U+E01F,1.13,0.5,0.35410843914740087,WARN
707,桑,6851,U+E1D0,0.52,0.5,0.01703333929878037,OK
708,喪,55AA,U+E060,0.55,0.78,0.15173191319623652,OK_LOOSE
709,嗇,55C7,U+E1A2,0.75,0.59,0.10420925174955592,OK
710,森,68EE,U+E1CE,0.61,0.45,0.1321173212354233,OK
711,殺,6BBA,U+E0E3,0.47,1.5,0.5039934011199638,WARN
712,山,5C71,U+E2A7,1.39,0.55,0.4026521107598512,WARN
713,彡,5F61,U+E294,0.63,0.67,0.02673425324724476,OK
714,删,5220,U+E146,0.66,0.62,0.027152246043614867,OK
715,羴,7FB4,U+E125,0.58,0.55,0.0230653040686934,OK
716,商,5546,U+E098,0.55,0.54,0.007968929671275373,OK
717,裳yi,,,,,,SEVERE
718,賞,8CDE,U+E1E8,0.59,0.48,0.089610774266557,OK
719,上,4E0A,U+E006,2.19,0.52,0.6244407712053192,SEVERE
720,少,5C11,U+E039,0.57,0.43,0.12240640009290485,OK
721,紹,7D39,U+E3B1,0.54,0.37,0.16419203575597358,OK_LOOSE
722,賖,8CD6,U+E1E6,0.44,0.54,0.0889410833367811,OK
723,舌,820C,U+E093,0.43,0.82,0.2803453968041301,OK_LOOSE
724,射she,,,,,,SEVERE
725,涉,6D89,U+E333,0.58,0.61,0.021901841447829775,OK
726,申,7533,U+E41B,0.77,0.62,0.094099035674228,OK
727,身,8EAB,U+E46D,0.41,0.42,0.01046543367816498,OK
728,沈,6C88,U+E328,0.62,0.8,0.11069829749368976,OK
729,升,5347,U+E3E8,0.45,0.88,0.29127015837482495,OK_LOOSE
730,生,751F,U+E1D8,0.78,0.45,0.23888208891513674,OK_LOOSE
731,牲,7272,U+E048,0.87,0.52,0.22351590898381932,OK_LOOSE
732,聲,8072,U+E356,0.5,0.73,0.16435285578443712,OK_LOOSE
733,省,7701,U+E107,0.57,0.79,0.14175223561795006,OK
734,圣,5723,U+E3CF,0.8,0.52,0.18708664335714445,OK_LOOSE
735,盛,76DB,U+E175,0.84,0.62,0.13188759656362775,OK
736,聖,8056,U+E354,0.52,0.5,0.01703333929878037,OK
737,尸,5C38,U+E27B,0.65,0.42,0.18966406624495513,OK_LOOSE
738,师shi,,,,,,SEVERE
739,施shi,,,,,,SEVERE
740,溼,6EBC,U+E32A,0.87,0.0,1.9395192526186185,SEVERE
741,十,5341,U+E09C,0.12,0.67,0.7468935566532017,SEVERE
742,石,77F3,U+E2AD,0.66,0.88,0.12493873660829995,OK
743,姼chi,,,,,,SEVERE
744,祏,794F,U+E015,0.62,0.69,0.04645740123900139,OK
745,食,98DF,U+E188,0.44,0.43,0.009984220906600923,OK
746,時,6642,U+E1F1,0.53,0.54,0.00811789022217945,OK
747,史,53F2,U+E0D7,0.45,0.43,0.019744058195757187,OK
748,矢,77E2,U+E193,0.31,0.31,0.0,OK
749,豕,8C55,U+E2B4,0.57,0.54,0.02348109584952281,OK
750,使,4F7F,U+E25D,0.59,0.56,0.022663984635943695,OK
751,駛,99DB,U+E47C,0.54,0.53,0.00811789022217946,OK
752,氏,6C0F,U+E38B,0.45,0.41,0.04042865705560822,OK
753,示,793A,U+E00A,0.65,0.66,0.006630578899013093,OK
754,事,4E8B,U+E0D8,0.42,0.39,0.032184683371401235,OK
755,冟,519F,U+E185,0.47,0.54,0.060295901887251105,OK
756,室,5BA4,U+E229,0.6,0.96,0.2041199826559248,OK_LOOSE
757,視,8996,U+E28B,0.95,0.82,0.06390975290513104,OK
758,手zhao,,,,,,SEVERE
759,首,9996,U+E293,0.84,0.52,0.20827594242708244,OK_LOOSE
760,受,53D7,U+E137,0.46,0.45,0.009545317906230361,OK
761,狩,72E9,U+E2D4,0.51,0.43,0.07410172051834987,OK
762,獸,7378,U+E3FF,0.46,0.42,0.039508541283673655,OK
763,殳,6BB3,U+E0DE,0.44,0.39,0.05238806945968822,OK
764,叔,53D4,U+E0D2,0.43,0.69,0.2053806351576688,OK_LOOSE
765,秫,79EB,U+E21A,0.43,0.76,0.24734513670120484,OK_LOOSE
766,熟shu,,,,,,SEVERE
767,黍,9ECD,U+E221,0.7,0.39,0.2540334329877576,OK_LOOSE
768,鼠,9F20,U+E480,0.41,0.73,0.2505390034007204,OK_LOOSE
769,蜀,8700,U+E3BD,0.7,0.67,0.019023237313430356,OK
770,戍,620D,U+E392,0.67,0.29,0.3636768048018704,WARN
771,束,675F,U+E1DA,0.31,0.71,0.3598966548848026,WARN
772,侸,4FB8,U+E256,0.63,0.67,0.02673425324724476,OK
773,庻shu,,,,,,SEVERE
774,樹,6A39,U+E1B3,0.65,0.48,0.13167211926726838,OK
775,爽,723D,U+E102,0.6,0.5,0.07918124604762482,OK
776,水,6C34,U+E305,0.52,0.52,0.0,OK
777,丝you,,,,,,SEVERE
778,司,53F8,U+E297,0.52,0.53,0.008272525965989885,OK
779,絲,7D72,U+E3BA,0.56,1.0,0.25181197299379954,OK_LOOSE
780,蛳si,,,,,,SEVERE
781,楒si,,,,,,SEVERE
782,死,6B7B,U+E139,0.64,0.71,0.0450783747351881,OK
783,巳,5DF3,U+E417,0.54,0.55,0.00796892967127534,OK
784,四,56DB,U+E3F6,0.91,0.32,0.4538914140011876,WARN
785,汜,6C5C,U+E31D,0.86,0.59,0.16364643960142355,OK_LOOSE
786,祀,7940,U+E013,0.79,0.38,0.31784349467363127,WARN
787,飤,98E4,U+E44D,0.74,0.46,0.20647388804940206,OK_LOOSE
788,嗣,55E3,U+E090,0.65,0.47,0.14081549870713814,OK
789,娀song,,,,,,SEVERE
790,宋,5B8B,U+E235,0.54,0.71,0.11886458889610672,OK
791,叜,53DC,U+E0C8,0.48,0.57,0.07463361829690415,OK
792,夙su,,,,,,SEVERE
793,诉che,,,,,,SEVERE
794,宿,5BBF,U+E232,0.77,0.38,0.30670712855567167,WARN
795,粟,7C9F,U+E212,0.57,0.5,0.05690485133647256,OK
796,餗,9917,U+E0BB,0.63,0.58,0.035912555890644446,OK
797,夊,590A,U+E1A5,0.88,0.58,0.1810546785872314,OK_LOOSE
798,虽sui,,,,,,SEVERE
799,綏,7D8F,U+E3B8,0.47,0.42,0.04884856753781701,OK
800,祟,795F,U+E01D,0.55,0.63,0.058977859959337804,OK
801,遂sui,,,,,,SEVERE
802,歳,,,,,,SEVERE
803,穗sui,,,,,,SEVERE
804,孫,5B6B,U+E3AD,0.41,0.91,0.34625753560135814,WARN
805,索,7D22,U+E1D6,0.36,0.7,0.2887955392469695,OK_LOOSE
806,它,5B83,U+E3C2,0.54,0.7,0.11270428019128824,OK
807,遝,905D,U+E06E,0.93,0.5,0.26951294421791633,OK_LOOSE
808,踏ta,,,,,,SEVERE
809,嚃ta,,,,,,SEVERE
810,汰,6C70,U+E32C,0.56,1.26,0.3521825181113625,WARN
811,覃tan,,,,,,SEVERE
812,唐,5510,U+E05A,0.5,0.59,0.07188200730612535,OK
813,濤,6FE4,U+E331,1.21,0.54,0.3503916104934815,WARN
814,天,5929,U+E004,0.69,0.38,0.2590654941204451,OK_LOOSE
815,田,7530,U+E3D4,0.69,0.71,0.012409257981820002,OK
816,畋,754B,U+E0F5,0.56,0.47,0.07609016907048301,OK
817,畑tian,,,,,,SEVERE
818,條,689D,U+E454,0.46,0.5,0.036212172654444715,OK
819,條,689D,U+E454,0.46,0.95,0.3149657736072736,WARN
820,齠tiao,,,,,,SEVERE
821,聑,8051,U+E359,0.92,0.36,0.407485326578268,WARN
822,鐡te,,,,,,SEVERE
823,聴ting,,,,,,SEVERE
824,聽,807D,U+E355,0.71,0.52,0.13525500508427607,OK
825,庭,5EAD,U+E2A9,0.68,0.52,0.11650556907143717,OK
826,挺ting（壬）,,,,,,SEVERE
827,通,901A,U+E072,0.54,0.58,0.031034233739968737,OK
828,同,540C,U+E241,0.57,0.45,0.1026623418971477,OK
829,童,7AE5,U+E432,0.58,0.58,0.0,OK
830,頭tou,,,,,,SEVERE
831,突,7A81,U+E23C,0.49,0.46,0.027438248346939524,OK
832,徒,5F92,U+E429,0.58,0.7,0.08167004645131958,OK
833,涂,6D82,U+E308,0.59,0.64,0.035327962341743034,OK
834,途,9014,U+E07C,0.48,0.45,0.028028723600243534,OK
835,土,571F,U+E3CB,0.73,0.59,0.09247084847831172,OK
836,兔,5154,U+E2CF,0.67,0.46,0.16331697101925235,OK_LOOSE
837,屯,5C6F,U+E026,0.52,0.3,0.23888208891513674,OK_LOOSE
