glyph_id,modern_char,unicode,char_form,encoding_status,pinyin,svg
663,卩,5369,in_simplified_set,unicode_encoded,jie,0663.svg
664,令,4EE4,in_simplified_set,unicode_encoded,ling,0664.svg
665,转,8F6C,traditional_or_variant,unicode_encoded,zhuan,0665.svg
666,印,5370,in_simplified_set,unicode_encoded,yin,0666.svg
667,卯,536F,in_simplified_set,unicode_encoded,mao,0667.svg
668,卿,537F,in_simplified_set,unicode_encoded,qing,0668.svg
669,辟,8F9F,in_simplified_set,unicode_encoded,pi,0669.svg
670,勹,52F9,in_simplified_set,unicode_encoded,bao,0670.svg
671,旬,65EC,in_simplified_set,unicode_encoded,xun,0671.svg
672,勽,52FD,in_simplified_set,unicode_encoded,bao,0672.svg
673,苟,82DF,in_simplified_set,unicode_encoded,gou,0673.svg
674,鬼,9B3C,in_simplified_set,unicode_encoded,gui,0674.svg
675,鬽,9B3D,in_simplified_set,unicode_encoded,mei,0675.svg
676,甶,7536,in_simplified_set,unicode_encoded,fu,0676.svg
677,畏,754F,in_simplified_set,unicode_encoded,wei,0677.svg
678,山,5C71,in_simplified_set,unicode_encoded,shan,0678.svg
679,嵒,5D52,in_simplified_set,unicode_encoded,yan,0679.svg
680,庭,5EAD,in_simplified_set,unicode_encoded,ting,0680.svg
681,廣,5EE3,in_simplified_set,unicode_encoded,guang,0681.svg
682,龐,9F90,in_simplified_set,unicode_encoded,pang,0682.svg
683,厂,5382,in_simplified_set,unicode_encoded,chang,0683.svg
684,石,77F3,in_simplified_set,unicode_encoded,shi,0684.svg
685,磬,78EC,in_simplified_set,unicode_encoded,qing,0685.svg
686,長,9577,in_simplified_set,unicode_encoded,zhang,0686.svg
687,勿,52FF,in_simplified_set,unicode_encoded,wu,0687.svg
688,昜,661C,in_simplified_set,unicode_encoded,yang,0688.svg
689,冄,5184,in_simplified_set,unicode_encoded,ran,0689.svg
690,而,800C,in_simplified_set,unicode_encoded,er,0690.svg
691,豕,8C55,in_simplified_set,unicode_encoded,shi,0691.svg
692,豰,8C70,in_simplified_set,unicode_encoded,bo,0692.svg
693,豭,8C6D,in_simplified_set,unicode_encoded,jia,0693.svg
694,豢,8C62,in_simplified_set,unicode_encoded,huan,0694.svg
695,豩,8C69,in_simplified_set,unicode_encoded,bin,0695.svg
696,彘,5F58,in_simplified_set,unicode_encoded,zhi,0696.svg
697,豚,8C5A,in_simplified_set,unicode_encoded,tun,0697.svg
698,豸,8C78,in_simplified_set,unicode_encoded,zhi,0698.svg
699,蛳,86F3,traditional_or_variant,unicode_encoded,si,0699.svg
700,易,6613,in_simplified_set,unicode_encoded,yi,0700.svg
701,象,8C61,in_simplified_set,unicode_encoded,xiang,0701.svg
702,馬,99AC,in_simplified_set,unicode_encoded,ma,0702.svg
703,驪,9A6A,in_simplified_set,unicode_encoded,li,0703.svg
704,駁,99C1,in_simplified_set,unicode_encoded,bo,0704.svg
705,騽,9A3D,in_simplified_set,unicode_encoded,xi,0705.svg
706,驅,9A45,in_simplified_set,unicode_encoded,qu,0706.svg
707,馽,99BD,in_simplified_set,unicode_encoded,zhi,0707.svg
708,驤,9A64,traditional_or_variant,unicode_encoded,xiang,0708.svg
709,廌,5ECC,in_simplified_set,unicode_encoded,zhi,0709.svg
710,鹿,9E7F,in_simplified_set,unicode_encoded,lu,0710.svg
711,麟,9E9F,in_simplified_set,unicode_encoded,lin,0711.svg
712,麐,9E90,in_simplified_set,unicode_encoded,lin,0712.svg
713,麋,9E8B,in_simplified_set,unicode_encoded,mi,0713.svg
714,麇,9E87,in_simplified_set,unicode_encoded,jun,0714.svg
715,麑,9E91,in_simplified_set,unicode_encoded,ni,0715.svg
716,麀,9E80,in_simplified_set,unicode_encoded,you,0716.svg
717,麤,9EA4,in_simplified_set,unicode_encoded,cu,0717.svg
718,兔,5154,in_simplified_set,unicode_encoded,tu,0718.svg
719,逸,9038,in_simplified_set,unicode_encoded,yi,0719.svg
720,犬,72AC,in_simplified_set,unicode_encoded,quan,0720.svg
721,尨,5C28,in_simplified_set,unicode_encoded,mang,0721.svg
722,圻,573B,traditional_or_variant,unicode_encoded,qi,0722.svg
723,狩,72E9,in_simplified_set,unicode_encoded,shou,0723.svg
724,臭,81ED,in_simplified_set,unicode_encoded,chou,0724.svg
725,獲,7372,in_simplified_set,unicode_encoded,huo,0725.svg
726,獻,737B,in_simplified_set,unicode_encoded,xian,0726.svg
727,狂,72C2,in_simplified_set,unicode_encoded,kuang,0727.svg
728,狄,72C4,in_simplified_set,unicode_encoded,di,0728.svg
729,猶,7336,in_simplified_set,unicode_encoded,you,0729.svg
730,狼,72FC,in_simplified_set,unicode_encoded,lang,0730.svg
731,狽,72FD,in_simplified_set,unicode_encoded,bei,0731.svg
732,火,706B,in_simplified_set,unicode_encoded,huo,0732.svg
733,尞,5C1E,in_simplified_set,unicode_encoded,liao,0733.svg
734,焛,711B,in_simplified_set,unicode_encoded,lin,0734.svg
735,烄,70C4,in_simplified_set,unicode_encoded,jiao,0735.svg
736,熹,71B9,in_simplified_set,unicode_encoded,xi,0736.svg
737,奀,5940,traditional_or_variant,unicode_encoded,en,0737.svg
738,秋,79CB,in_simplified_set,unicode_encoded,qiu,0738.svg
739,㶳,3DB3,traditional_or_variant,unicode_encoded,jin,0739.svg
740,焚,711A,in_simplified_set,unicode_encoded,fen,0740.svg
741,烖,70D6,in_simplified_set,unicode_encoded,zai,0741.svg
742,光,5149,in_simplified_set,unicode_encoded,guang,0742.svg
743,烕,70D5,in_simplified_set,unicode_encoded,mie,0743.svg
744,炎,708E,in_simplified_set,unicode_encoded,yan,0744.svg
745,焱,7131,in_simplified_set,unicode_encoded,yan,0745.svg
746,赤,8D64,in_simplified_set,unicode_encoded,chi,0746.svg
747,大,5927,in_simplified_set,unicode_encoded,da,0747.svg
748,夾,593E,in_simplified_set,unicode_encoded,jia,0748.svg
749,夸,5938,in_simplified_set,unicode_encoded,kua,0749.svg
750,夷,5937,in_simplified_set,unicode_encoded,yi,0750.svg
751,亦,4EA6,in_simplified_set,unicode_encoded,yi,0751.svg
752,夨,5928,in_simplified_set,unicode_encoded,ze,0752.svg
753,呉,5449,in_simplified_set,unicode_encoded,wu,0753.svg
754,夭,592D,in_simplified_set,unicode_encoded,yao,0754.svg
755,交,4EA4,in_simplified_set,unicode_encoded,jiao,0755.svg
756,壺,58FA,in_simplified_set,unicode_encoded,hu,0756.svg
757,幸,5E78,in_simplified_set,unicode_encoded,xing,0757.svg
758,執,57F7,in_simplified_set,unicode_encoded,zhi,0758.svg
759,圉,5709,in_simplified_set,unicode_encoded,yu,0759.svg
760,報,5831,in_simplified_set,unicode_encoded,bao,0760.svg
761,亢,4EA2,in_simplified_set,unicode_encoded,kang,0761.svg
762,殈,6B88,traditional_or_variant,unicode_encoded,xu,0762.svg
763,举,4E3E,traditional_or_variant,unicode_encoded,ju,0763.svg
764,奚,595A,in_simplified_set,unicode_encoded,xi,0764.svg
765,夫,592B,in_simplified_set,unicode_encoded,fu,0765.svg
766,伴,4F34,traditional_or_variant,unicode_encoded,ban,0766.svg
767,立,7ACB,in_simplified_set,unicode_encoded,li,0767.svg
768,竝,7ADD,in_simplified_set,unicode_encoded,bing,0768.svg
769,心,5FC3,in_simplified_set,unicode_encoded,xin,0769.svg
770,慶,6176,in_simplified_set,unicode_encoded,qing,0770.svg
771,悔,6094,in_simplified_set,unicode_encoded,hui,0771.svg
772,水,6C34,in_simplified_set,unicode_encoded,shui,0772.svg
773,河,6CB3,in_simplified_set,unicode_encoded,he,0773.svg
774,沮,6CAE,in_simplified_set,unicode_encoded,ju,0774.svg
775,涂,6D82,in_simplified_set,unicode_encoded,tu,0775.svg
776,洛,6D1B,in_simplified_set,unicode_encoded,luo,0776.svg
777,汝,6C5D,in_simplified_set,unicode_encoded,ru,0777.svg
778,油,6CB9,in_simplified_set,unicode_encoded,you,0778.svg
779,淮,6DEE,in_simplified_set,unicode_encoded,huai,0779.svg
780,洧,6D27,in_simplified_set,unicode_encoded,wei,0780.svg
781,濼,6FFC,in_simplified_set,unicode_encoded,luo,0781.svg
782,洹,6D39,in_simplified_set,unicode_encoded,huan,0782.svg
783,沉,6C89,in_simplified_set,unicode_encoded,chen,0783.svg
784,寖,5BD6,in_simplified_set,unicode_encoded,jin,0784.svg
